date,close
2025-09-25,10.78
2025-09-26,11.43
2025-09-29,11.37
2025-09-30,11.07
2025-10-01,10.29
2025-10-03,10.06
2025-10-06,10.19
2025-10-07,10.05
2025-10-08,10.31
2025-10-09,10.12
2025-10-10,10.1
2025-10-13,11.01
2025-10-14,11.16
2025-10-15,10.53
2025-10-16,10.87
2025-10-17,11.63
2025-10-20,11.36
2025-10-21,11.3
2025-10-23,11.73
2025-10-24,11.59
2025-10-27,11.86
2025-10-28,11.95
2025-10-29,11.97
2025-10-30,12.07
2025-10-31,12.15
2025-11-03,12.67
2025-11-04,12.65
2025-11-06,12.41
2025-11-07,12.56
2025-11-10,12.3
2025-11-11,12.49
2025-11-12,12.11
2025-11-13,12.16
2025-11-14,11.94
2025-11-17,11.79
2025-11-18,12.1
2025-11-19,11.97
2025-11-20,12.14
2025-11-21,13.63
2025-11-24,13.24
2025-11-25,12.24
2025-11-26,11.97
2025-11-27,11.79
2025-11-28,11.62
2025-12-01,11.63
2025-12-02,11.23
2025-12-03,11.21
2025-12-04,10.82
2025-12-05,10.32
2025-12-08,11.13
2025-12-09,10.95
2025-12-10,10.91
2025-12-11,10.4
2025-12-12,10.11
2025-12-15,10.25
2025-12-16,10.06
2025-12-17,9.84
2025-12-18,9.71
2025-12-19,9.52
2025-12-22,9.68
2025-12-23,9.38
2025-12-24,9.19
2025-12-26,9.15
2025-12-29,9.72
2025-12-30,9.68
2025-12-31,9.48
2026-01-01,9.19
2026-01-02,9.45
2026-01-05,10.02
2026-01-06,10.02
2026-01-07,9.95
2026-01-08,10.6
2026-01-09,10.93
2026-01-12,11.37
2026-01-13,11.2
2026-01-14,11.32
2026-01-16,11.37
2026-01-19,11.83
2026-01-20,12.73
2026-01-21,13.78
2026-01-22,13.35
2026-01-23,14.19
2026-01-27,14.45
2026-01-28,13.53
2026-01-29,13.37
2026-01-30,13.63
2026-02-02,13.87
2026-02-03,12.9
2026-02-04,12.25
